t=0, n=0, r=0, m=0, rp=0 ---------> -2.64986e-05
t=1, n=0, r=0, m=0, rp=0 ---------> 5.32283e-05
t=0, n=1, r=0, m=0, rp=0 ---------> 1.22668e-05
t=1, n=1, r=0, m=0, rp=0 ---------> 5.39017e-05
t=0, n=2, r=0, m=0, rp=0 ---------> 0.00012669
t=1, n=2, r=0, m=0, rp=0 ---------> -3.90986e-05
t=0, n=3, r=0, m=0, rp=0 ---------> 0.000130728
t=1, n=3, r=0, m=0, rp=0 ---------> 1.47382e-05
t=0, n=4, r=0, m=0, rp=0 ---------> 1.69054e-05
t=1, n=4, r=0, m=0, rp=0 ---------> 8.05687e-06
t=0, n=5, r=0, m=0, rp=0 ---------> 9.81612e-05
t=1, n=5, r=0, m=0, rp=0 ---------> 6.07721e-05
t=0, n=6, r=0, m=0, rp=0 ---------> 4.15685e-05
t=1, n=6, r=0, m=0, rp=0 ---------> 6.48324e-05
t=0, n=7, r=0, m=0, rp=0 ---------> 0.000147099
t=1, n=7, r=0, m=0, rp=0 ---------> 3.15118e-05
t=0, n=8, r=0, m=0, rp=0 ---------> 7.96039e-05
t=1, n=8, r=0, m=0, rp=0 ---------> -1.54013e-05
t=0, n=9, r=0, m=0, rp=0 ---------> 6.30143e-05
t=1, n=9, r=0, m=0, rp=0 ---------> 8.86701e-05
t=0, n=10, r=0, m=0, rp=0 ---------> 5.20103e-05
t=1, n=10, r=0, m=0, rp=0 ---------> 1.34492e-05
t=0, n=11, r=0, m=0, rp=0 ---------> -0.000106876
t=1, n=11, r=0, m=0, rp=0 ---------> 0.000128315
t=0, n=12, r=0, m=0, rp=0 ---------> -0.000144557
t=1, n=12, r=0, m=0, rp=0 ---------> 9.85339e-06
t=0, n=13, r=0, m=0, rp=0 ---------> 0.000104033
t=1, n=13, r=0, m=0, rp=0 ---------> 0.000139375
t=0, n=14, r=0, m=0, rp=0 ---------> 9.60768e-05
t=1, n=14, r=0, m=0, rp=0 ---------> 6.1387e-05
t=0, n=15, r=0, m=0, rp=0 ---------> -5.29973e-05
t=1, n=15, r=0, m=0, rp=0 ---------> -9.60564e-05
t=0, n=16, r=0, m=0, rp=0 ---------> -8.54052e-05
t=1, n=16, r=0, m=0, rp=0 ---------> -2.33604e-05
t=0, n=17, r=0, m=0, rp=0 ---------> -0.000163568
t=1, n=17, r=0, m=0, rp=0 ---------> 0.000120383
t=0, n=18, r=0, m=0, rp=0 ---------> -0.00016741
t=1, n=18, r=0, m=0, rp=0 ---------> 1.42457e-05
t=0, n=19, r=0, m=0, rp=0 ---------> 2.14763e-05
t=1, n=19, r=0, m=0, rp=0 ---------> 1.12536e-05
t=0, n=20, r=0, m=0, rp=0 ---------> 0.000108171
t=1, n=20, r=0, m=0, rp=0 ---------> 2.27515e-05
t=0, n=21, r=0, m=0, rp=0 ---------> 9.26214e-05
t=1, n=21, r=0, m=0, rp=0 ---------> 9.24224e-05
t=0, n=22, r=0, m=0, rp=0 ---------> 0.00017542
t=1, n=22, r=0, m=0, rp=0 ---------> 0.000105361
t=0, n=23, r=0, m=0, rp=0 ---------> 0.000130121
t=1, n=23, r=0, m=0, rp=0 ---------> 8.42677e-05
t=0, n=24, r=0, m=0, rp=0 ---------> 4.40805e-05
t=1, n=24, r=0, m=0, rp=0 ---------> 1.53049e-05
t=0, n=25, r=0, m=0, rp=0 ---------> 7.83056e-05
t=1, n=25, r=0, m=0, rp=0 ---------> 2.2867e-05
t=0, n=26, r=0, m=0, rp=0 ---------> 2.16223e-05
t=1, n=26, r=0, m=0, rp=0 ---------> 0.000116004
t=0, n=27, r=0, m=0, rp=0 ---------> -3.50774e-06
t=1, n=27, r=0, m=0, rp=0 ---------> 2.70635e-05
t=0, n=28, r=0, m=0, rp=0 ---------> -0.000121251
t=1, n=28, r=0, m=0, rp=0 ---------> 1.08422e-05
t=0, n=29, r=0, m=0, rp=0 ---------> 1.40196e-05
t=1, n=29, r=0, m=0, rp=0 ---------> -2.11876e-06
t=0, n=30, r=0, m=0, rp=0 ---------> -0.000118944
t=1, n=30, r=0, m=0, rp=0 ---------> -1.58465e-05
t=0, n=31, r=0, m=0, rp=0 ---------> -1.35852e-05
t=1, n=31, r=0, m=0, rp=0 ---------> 0.000123172
t=0, n=32, r=0, m=0, rp=0 ---------> 0.000115214
t=1, n=32, r=0, m=0, rp=0 ---------> -3.44818e-05
t=0, n=33, r=0, m=0, rp=0 ---------> -3.41366e-05
t=1, n=33, r=0, m=0, rp=0 ---------> 3.99521e-05
t=0, n=34, r=0, m=0, rp=0 ---------> -0.000127487
t=1, n=34, r=0, m=0, rp=0 ---------> 0.000187106
t=0, n=35, r=0, m=0, rp=0 ---------> 8.58503e-05
t=1, n=35, r=0, m=0, rp=0 ---------> 4.29484e-05
t=0, n=36, r=0, m=0, rp=0 ---------> 7.98364e-05
t=1, n=36, r=0, m=0, rp=0 ---------> 1.39922e-05
t=0, n=37, r=0, m=0, rp=0 ---------> 0.00017081
t=1, n=37, r=0, m=0, rp=0 ---------> -1.16527e-05
t=0, n=38, r=0, m=0, rp=0 ---------> 3.54367e-05
t=1, n=38, r=0, m=0, rp=0 ---------> -1.16848e-05
t=0, n=39, r=0, m=0, rp=0 ---------> 0.000109888
t=1, n=39, r=0, m=0, rp=0 ---------> -2.02376e-05
t=0, n=40, r=0, m=0, rp=0 ---------> 2.22753e-05
t=1, n=40, r=0, m=0, rp=0 ---------> -5.07631e-05
t=0, n=41, r=0, m=0, rp=0 ---------> 1.10215e-05
t=1, n=41, r=0, m=0, rp=0 ---------> -4.83664e-05
t=0, n=42, r=0, m=0, rp=0 ---------> -6.39476e-05
t=1, n=42, r=0, m=0, rp=0 ---------> 4.19256e-05
t=0, n=43, r=0, m=0, rp=0 ---------> -0.000127449
t=1, n=43, r=0, m=0, rp=0 ---------> 4.94323e-05
t=0, n=44, r=0, m=0, rp=0 ---------> 7.98388e-06
t=1, n=44, r=0, m=0, rp=0 ---------> 2.53841e-05
t=0, n=0, r=1, m=0, rp=0 ---------> 0.000918461
t=1, n=0, r=1, m=0, rp=0 ---------> -0.000587772
t=0, n=1, r=1, m=0, rp=0 ---------> 0.0046378
t=1, n=1, r=1, m=0, rp=0 ---------> -0.000784116
t=0, n=2, r=1, m=0, rp=0 ---------> 0.00325128
t=1, n=2, r=1, m=0, rp=0 ---------> -0.00116404
t=0, n=3, r=1, m=0, rp=0 ---------> 0.00234841
t=1, n=3, r=1, m=0, rp=0 ---------> -0.00179961
t=0, n=4, r=1, m=0, rp=0 ---------> 0.00132772
t=1, n=4, r=1, m=0, rp=0 ---------> -0.00137877
t=0, n=5, r=1, m=0, rp=0 ---------> 0.000472688
t=1, n=5, r=1, m=0, rp=0 ---------> -0.00205052
t=0, n=6, r=1, m=0, rp=0 ---------> 0.00164828
t=1, n=6, r=1, m=0, rp=0 ---------> -0.000779418
t=0, n=7, r=1, m=0, rp=0 ---------> 0.000213662
t=1, n=7, r=1, m=0, rp=0 ---------> -0.000786867
t=0, n=8, r=1, m=0, rp=0 ---------> 0.00254953
t=1, n=8, r=1, m=0, rp=0 ---------> -0.00161178
t=0, n=9, r=1, m=0, rp=0 ---------> 0.00379836
t=1, n=9, r=1, m=0, rp=0 ---------> 0.000842959
t=0, n=10, r=1, m=0, rp=0 ---------> 0.000364139
t=1, n=10, r=1, m=0, rp=0 ---------> -0.00116214
t=0, n=11, r=1, m=0, rp=0 ---------> 0.000905942
t=1, n=11, r=1, m=0, rp=0 ---------> -0.000614544
t=0, n=12, r=1, m=0, rp=0 ---------> 0.00152848
t=1, n=12, r=1, m=0, rp=0 ---------> -0.000918893
t=0, n=13, r=1, m=0, rp=0 ---------> 0.001603
t=1, n=13, r=1, m=0, rp=0 ---------> -0.000126724
t=0, n=14, r=1, m=0, rp=0 ---------> 0.00371161
t=1, n=14, r=1, m=0, rp=0 ---------> 0.000376581
t=0, n=15, r=1, m=0, rp=0 ---------> 0.000391109
t=1, n=15, r=1, m=0, rp=0 ---------> -0.00222155
t=0, n=16, r=1, m=0, rp=0 ---------> 0.000536309
t=1, n=16, r=1, m=0, rp=0 ---------> -0.00133011
t=0, n=17, r=1, m=0, rp=0 ---------> 0.00588864
t=1, n=17, r=1, m=0, rp=0 ---------> 0.000364673
t=0, n=18, r=1, m=0, rp=0 ---------> 0.000491968
t=1, n=18, r=1, m=0, rp=0 ---------> -0.000753634
t=0, n=19, r=1, m=0, rp=0 ---------> -0.00161926
t=1, n=19, r=1, m=0, rp=0 ---------> -0.000102311
t=0, n=20, r=1, m=0, rp=0 ---------> 6.00043e-05
t=1, n=20, r=1, m=0, rp=0 ---------> -0.00154276
t=0, n=21, r=1, m=0, rp=0 ---------> -0.000203563
t=1, n=21, r=1, m=0, rp=0 ---------> -0.00181736
t=0, n=22, r=1, m=0, rp=0 ---------> 0.00029975
t=1, n=22, r=1, m=0, rp=0 ---------> -0.00165473
t=0, n=23, r=1, m=0, rp=0 ---------> 0.00194174
t=1, n=23, r=1, m=0, rp=0 ---------> -0.00108735
t=0, n=24, r=1, m=0, rp=0 ---------> 0.00121505
t=1, n=24, r=1, m=0, rp=0 ---------> -0.00264514
t=0, n=25, r=1, m=0, rp=0 ---------> 0.00227629
t=1, n=25, r=1, m=0, rp=0 ---------> -0.00131523
t=0, n=26, r=1, m=0, rp=0 ---------> 0.000751369
t=1, n=26, r=1, m=0, rp=0 ---------> -0.000419535
t=0, n=27, r=1, m=0, rp=0 ---------> 0.00149673
t=1, n=27, r=1, m=0, rp=0 ---------> -0.00150282
t=0, n=28, r=1, m=0, rp=0 ---------> 0.000128983
t=1, n=28, r=1, m=0, rp=0 ---------> -0.00122332
t=0, n=29, r=1, m=0, rp=0 ---------> 0.00102795
t=1, n=29, r=1, m=0, rp=0 ---------> -0.00204843
t=0, n=30, r=1, m=0, rp=0 ---------> 0.00242434
