t=0, n=0, m=0, rp=0 ---------> 49380
t=1, n=0, m=0, rp=0 ---------> 49380
t=0, n=1, m=0, rp=0 ---------> 49380
t=1, n=1, m=0, rp=0 ---------> 49380
t=0, n=2, m=0, rp=0 ---------> 49380
t=1, n=2, m=0, rp=0 ---------> 49380
t=0, n=3, m=0, rp=0 ---------> -3.82908e+11
t=1, n=3, m=0, rp=0 ---------> 5.10104e+11
t=0, n=4, m=0, rp=0 ---------> -5.83414e+11
t=1, n=4, m=0, rp=0 ---------> 2.8026e+11
t=0, n=5, m=0, rp=0 ---------> -6.07224e+11
t=1, n=5, m=0, rp=0 ---------> 5.20918e+11
t=0, n=6, m=0, rp=0 ---------> 6.45802e+10
t=1, n=6, m=0, rp=0 ---------> 7.13505e+11
t=0, n=7, m=0, rp=0 ---------> 3.25481e+10
t=1, n=7, m=0, rp=0 ---------> 5.07739e+11
t=0, n=8, m=0, rp=0 ---------> -4.97523e+11
t=1, n=8, m=0, rp=0 ---------> 4.37781e+11
t=0, n=9, m=0, rp=0 ---------> 8.52242e+10
t=1, n=9, m=0, rp=0 ---------> 9.81526e+11
t=0, n=10, m=0, rp=0 ---------> -2.31445e+10
t=1, n=10, m=0, rp=0 ---------> 3.28917e+11
t=0, n=11, m=0, rp=0 ---------> -4.61444e+11
t=1, n=11, m=0, rp=0 ---------> 5.20524e+11
t=0, n=12, m=0, rp=0 ---------> -2.91143e+11
t=1, n=12, m=0, rp=0 ---------> 1.97942e+11
t=0, n=13, m=0, rp=0 ---------> 2.35421e+11
t=1, n=13, m=0, rp=0 ---------> 3.21496e+11
t=0, n=14, m=0, rp=0 ---------> -4.35166e+11
t=1, n=14, m=0, rp=0 ---------> 4.57826e+11
t=0, n=15, m=0, rp=0 ---------> -6.52967e+11
t=1, n=15, m=0, rp=0 ---------> 7.35561e+11
t=0, n=16, m=0, rp=0 ---------> -6.70669e+11
t=1, n=16, m=0, rp=0 ---------> 2.84948e+11
t=0, n=17, m=0, rp=0 ---------> -6.64746e+11
t=1, n=17, m=0, rp=0 ---------> -2.40786e+11
t=0, n=18, m=0, rp=0 ---------> -4.13707e+11
t=1, n=18, m=0, rp=0 ---------> 3.93887e+11
t=0, n=19, m=0, rp=0 ---------> 9.27246e+10
t=1, n=19, m=0, rp=0 ---------> 6.07551e+11
t=0, n=20, m=0, rp=0 ---------> -3.80677e+11
t=1, n=20, m=0, rp=0 ---------> 5.1012e+11
t=0, n=21, m=0, rp=0 ---------> -5.6314e+11
t=1, n=21, m=0, rp=0 ---------> -2.82275e+10
t=0, n=22, m=0, rp=0 ---------> -5.03041e+11
t=1, n=22, m=0, rp=0 ---------> 1.16537e+12
t=0, n=23, m=0, rp=0 ---------> -5.28571e+11
t=1, n=23, m=0, rp=0 ---------> -4.44599e+10
t=0, n=24, m=0, rp=0 ---------> -8.89852e+11
t=1, n=24, m=0, rp=0 ---------> 9.81648e+11
t=0, n=25, m=0, rp=0 ---------> -4.55044e+11
t=1, n=25, m=0, rp=0 ---------> 6.45865e+11
t=0, n=26, m=0, rp=0 ---------> -3.8229e+11
t=1, n=26, m=0, rp=0 ---------> 3.51883e+11
t=0, n=27, m=0, rp=0 ---------> -2.92804e+11
t=1, n=27, m=0, rp=0 ---------> 1.92332e+11
t=0, n=28, m=0, rp=0 ---------> -2.70843e+11
t=1, n=28, m=0, rp=0 ---------> 9.8312e+11
t=0, n=29, m=0, rp=0 ---------> -8.75222e+11
t=1, n=29, m=0, rp=0 ---------> 5.70256e+10
t=0, n=30, m=0, rp=0 ---------> -2.61915e+11
t=1, n=30, m=0, rp=0 ---------> 9.6796e+11
t=0, n=31, m=0, rp=0 ---------> -2.31238e+11
t=1, n=31, m=0, rp=0 ---------> 7.09617e+11
t=0, n=32, m=0, rp=0 ---------> -1.32025e+11
t=1, n=32, m=0, rp=0 ---------> 1.11613e+12
t=0, n=33, m=0, rp=0 ---------> -1.87841e+11
t=1, n=33, m=0, rp=0 ---------> -1.64872e+11
t=0, n=34, m=0, rp=0 ---------> -6.26846e+11
t=1, n=34, m=0, rp=0 ---------> -1.77882e+09
t=0, n=35, m=0, rp=0 ---------> -1.14455e+11
t=1, n=35, m=0, rp=0 ---------> 2.14196e+11
t=0, n=36, m=0, rp=0 ---------> -5.31261e+10
t=1, n=36, m=0, rp=0 ---------> 5.6118e+11
t=0, n=37, m=0, rp=0 ---------> -2.34379e+11
t=1, n=37, m=0, rp=0 ---------> 1.08e+12
t=0, n=38, m=0, rp=0 ---------> 5.93162e+09
t=1, n=38, m=0, rp=0 ---------> 5.59113e+11
t=0, n=39, m=0, rp=0 ---------> -3.31216e+11
t=1, n=39, m=0, rp=0 ---------> 3.17506e+11
t=0, n=40, m=0, rp=0 ---------> 9.13887e+09
t=1, n=40, m=0, rp=0 ---------> 5.70843e+11
t=0, n=41, m=0, rp=0 ---------> -3.25696e+11
