t=0, n=0, r=0, m=0, rp=0 ---------> 0.000168784
t=1, n=0, r=0, m=0, rp=0 ---------> -8.44242e-05
t=0, n=1, r=0, m=0, rp=0 ---------> -4.5821e-05
t=1, n=1, r=0, m=0, rp=0 ---------> 2.84892e-06
t=0, n=2, r=0, m=0, rp=0 ---------> -6.777e-05
t=1, n=2, r=0, m=0, rp=0 ---------> -1.26313e-05
t=0, n=3, r=0, m=0, rp=0 ---------> 2.10169e-05
t=1, n=3, r=0, m=0, rp=0 ---------> -7.62688e-05
t=0, n=4, r=0, m=0, rp=0 ---------> -0.000176516
t=1, n=4, r=0, m=0, rp=0 ---------> 1.69133e-05
t=0, n=5, r=0, m=0, rp=0 ---------> -9.33332e-05
t=1, n=5, r=0, m=0, rp=0 ---------> -0.000109475
t=0, n=6, r=0, m=0, rp=0 ---------> 0.000178682
t=1, n=6, r=0, m=0, rp=0 ---------> -9.8648e-06
t=0, n=7, r=0, m=0, rp=0 ---------> 0.000104777
t=1, n=7, r=0, m=0, rp=0 ---------> -2.94088e-05
t=0, n=8, r=0, m=0, rp=0 ---------> 8.56381e-05
t=1, n=8, r=0, m=0, rp=0 ---------> -6.27507e-05
t=0, n=9, r=0, m=0, rp=0 ---------> 0.000208673
t=1, n=9, r=0, m=0, rp=0 ---------> -7.42639e-05
t=0, n=10, r=0, m=0, rp=0 ---------> -1.28493e-05
t=1, n=10, r=0, m=0, rp=0 ---------> -7.10795e-05
t=0, n=11, r=0, m=0, rp=0 ---------> -4.46981e-05
t=1, n=11, r=0, m=0, rp=0 ---------> -0.000112919
t=0, n=12, r=0, m=0, rp=0 ---------> -1.69432e-05
t=1, n=12, r=0, m=0, rp=0 ---------> -4.31035e-05
t=0, n=13, r=0, m=0, rp=0 ---------> 0.000195302
t=1, n=13, r=0, m=0, rp=0 ---------> -4.61363e-05
t=0, n=14, r=0, m=0, rp=0 ---------> 5.19036e-05
t=1, n=14, r=0, m=0, rp=0 ---------> 0.000128924
t=0, n=15, r=0, m=0, rp=0 ---------> -0.000265745
t=1, n=15, r=0, m=0, rp=0 ---------> -7.02627e-05
t=0, n=16, r=0, m=0, rp=0 ---------> -0.000121902
t=1, n=16, r=0, m=0, rp=0 ---------> 9.42312e-06
t=0, n=17, r=0, m=0, rp=0 ---------> -2.7208e-05
t=1, n=17, r=0, m=0, rp=0 ---------> 5.6508e-07
t=0, n=18, r=0, m=0, rp=0 ---------> -3.4018e-05
t=1, n=18, r=0, m=0, rp=0 ---------> 1.98514e-05
t=0, n=19, r=0, m=0, rp=0 ---------> -3.21286e-05
t=1, n=19, r=0, m=0, rp=0 ---------> -3.58699e-05
t=0, n=20, r=0, m=0, rp=0 ---------> -3.12078e-05
t=1, n=20, r=0, m=0, rp=0 ---------> -5.85967e-05
t=0, n=21, r=0, m=0, rp=0 ---------> -7.79978e-05
t=1, n=21, r=0, m=0, rp=0 ---------> -1.34991e-05
t=0, n=22, r=0, m=0, rp=0 ---------> -1.37398e-05
t=1, n=22, r=0, m=0, rp=0 ---------> -9.53593e-05
t=0, n=23, r=0, m=0, rp=0 ---------> 6.00988e-05
t=1, n=23, r=0, m=0, rp=0 ---------> -1.58555e-05
t=0, n=24, r=0, m=0, rp=0 ---------> -0.000156299
t=1, n=24, r=0, m=0, rp=0 ---------> 1.72735e-05
t=0, n=25, r=0, m=0, rp=0 ---------> 3.61486e-05
t=1, n=25, r=0, m=0, rp=0 ---------> -6.4037e-05
t=0, n=26, r=0, m=0, rp=0 ---------> 3.08309e-05
t=1, n=26, r=0, m=0, rp=0 ---------> -0.000130053
t=0, n=27, r=0, m=0, rp=0 ---------> 4.7701e-05
t=1, n=27, r=0, m=0, rp=0 ---------> -5.71453e-05
t=0, n=28, r=0, m=0, rp=0 ---------> 0.000120872
t=1, n=28, r=0, m=0, rp=0 ---------> -6.82243e-05
t=0, n=29, r=0, m=0, rp=0 ---------> -0.000139292
t=1, n=29, r=0, m=0, rp=0 ---------> 5.51436e-05
t=0, n=30, r=0, m=0, rp=0 ---------> -4.52428e-06
t=1, n=30, r=0, m=0, rp=0 ---------> -1.94334e-05
t=0, n=31, r=0, m=0, rp=0 ---------> -0.000174197
t=1, n=31, r=0, m=0, rp=0 ---------> 2.13559e-05
t=0, n=32, r=0, m=0, rp=0 ---------> -8.33587e-05
t=1, n=32, r=0, m=0, rp=0 ---------> -7.43307e-05
t=0, n=33, r=0, m=0, rp=0 ---------> -4.24374e-05
t=1, n=33, r=0, m=0, rp=0 ---------> 4.31179e-06
t=0, n=34, r=0, m=0, rp=0 ---------> -8.25134e-05
t=1, n=34, r=0, m=0, rp=0 ---------> 4.35668e-05
t=0, n=35, r=0, m=0, rp=0 ---------> 8.17421e-05
t=1, n=35, r=0, m=0, rp=0 ---------> -1.6833e-05
t=0, n=36, r=0, m=0, rp=0 ---------> 2.14038e-05
t=1, n=36, r=0, m=0, rp=0 ---------> 2.12039e-06
t=0, n=37, r=0, m=0, rp=0 ---------> 4.11444e-05
t=1, n=37, r=0, m=0, rp=0 ---------> -1.74334e-05
t=0, n=38, r=0, m=0, rp=0 ---------> -7.65661e-05
t=1, n=38, r=0, m=0, rp=0 ---------> -5.77343e-05
t=0, n=39, r=0, m=0, rp=0 ---------> -8.11396e-05
t=1, n=39, r=0, m=0, rp=0 ---------> 1.22699e-05
t=0, n=40, r=0, m=0, rp=0 ---------> 2.59368e-05
t=1, n=40, r=0, m=0, rp=0 ---------> -2.61432e-05
t=0, n=41, r=0, m=0, rp=0 ---------> -6.88627e-05
t=1, n=41, r=0, m=0, rp=0 ---------> -6.08636e-05
t=0, n=42, r=0, m=0, rp=0 ---------> -4.26425e-05
t=1, n=42, r=0, m=0, rp=0 ---------> -3.98587e-05
t=0, n=43, r=0, m=0, rp=0 ---------> 4.46719e-05
t=1, n=43, r=0, m=0, rp=0 ---------> -4.67289e-05
t=0, n=44, r=0, m=0, rp=0 ---------> -3.97582e-06
t=1, n=44, r=0, m=0, rp=0 ---------> 1.87475e-06
t=0, n=0, r=1, m=0, rp=0 ---------> -0.00730458
t=1, n=0, r=1, m=0, rp=0 ---------> -0.000673459
t=0, n=1, r=1, m=0, rp=0 ---------> -0.0024166
t=1, n=1, r=1, m=0, rp=0 ---------> -0.00115477
t=0, n=2, r=1, m=0, rp=0 ---------> -0.00361083
t=1, n=2, r=1, m=0, rp=0 ---------> -0.00164995
t=0, n=3, r=1, m=0, rp=0 ---------> -0.00491301
t=1, n=3, r=1, m=0, rp=0 ---------> -0.00174002
t=0, n=4, r=1, m=0, rp=0 ---------> -0.00311791
t=1, n=4, r=1, m=0, rp=0 ---------> 0.000550666
t=0, n=5, r=1, m=0, rp=0 ---------> -0.00585796
t=1, n=5, r=1, m=0, rp=0 ---------> -0.00198387
t=0, n=6, r=1, m=0, rp=0 ---------> -0.00385571
t=1, n=6, r=1, m=0, rp=0 ---------> -0.000174146
t=0, n=7, r=1, m=0, rp=0 ---------> -0.00339596
t=1, n=7, r=1, m=0, rp=0 ---------> -0.000953791
t=0, n=8, r=1, m=0, rp=0 ---------> -0.00414478
t=1, n=8, r=1, m=0, rp=0 ---------> -0.00151014
t=0, n=9, r=1, m=0, rp=0 ---------> -0.0054069
t=1, n=9, r=1, m=0, rp=0 ---------> -0.000928983
t=0, n=10, r=1, m=0, rp=0 ---------> -0.00275745
t=1, n=10, r=1, m=0, rp=0 ---------> -0.000807244
t=0, n=11, r=1, m=0, rp=0 ---------> -0.00433521
t=1, n=11, r=1, m=0, rp=0 ---------> -0.00113686
t=0, n=12, r=1, m=0, rp=0 ---------> -0.00253908
t=1, n=12, r=1, m=0, rp=0 ---------> 4.61719e-05
t=0, n=13, r=1, m=0, rp=0 ---------> -0.00242627
t=1, n=13, r=1, m=0, rp=0 ---------> -0.000754668
t=0, n=14, r=1, m=0, rp=0 ---------> -0.0036117
t=1, n=14, r=1, m=0, rp=0 ---------> -0.00145207
t=0, n=15, r=1, m=0, rp=0 ---------> -0.00502401
t=1, n=15, r=1, m=0, rp=0 ---------> -0.000128958
t=0, n=16, r=1, m=0, rp=0 ---------> -0.00278188
t=1, n=16, r=1, m=0, rp=0 ---------> -0.000245788
t=0, n=17, r=1, m=0, rp=0 ---------> -0.00228772
t=1, n=17, r=1, m=0, rp=0 ---------> -0.000909795
t=0, n=18, r=1, m=0, rp=0 ---------> -0.0026379
t=1, n=18, r=1, m=0, rp=0 ---------> 0.000560292
t=0, n=19, r=1, m=0, rp=0 ---------> -0.00228947
t=1, n=19, r=1, m=0, rp=0 ---------> 0.000391824
t=0, n=20, r=1, m=0, rp=0 ---------> -0.00443356
t=1, n=20, r=1, m=0, rp=0 ---------> -0.00130754
t=0, n=21, r=1, m=0, rp=0 ---------> -0.00265932
t=1, n=21, r=1, m=0, rp=0 ---------> -0.000941526
t=0, n=22, r=1, m=0, rp=0 ---------> -0.00792426
t=1, n=22, r=1, m=0, rp=0 ---------> -0.00170842
t=0, n=23, r=1, m=0, rp=0 ---------> -0.00263098
t=1, n=23, r=1, m=0, rp=0 ---------> -0.00129026
t=0, n=24, r=1, m=0, rp=0 ---------> -0.00760787
t=1, n=24, r=1, m=0, rp=0 ---------> -0.000573087
t=0, n=25, r=1, m=0, rp=0 ---------> -0.00543679
t=1, n=25, r=1, m=0, rp=0 ---------> -0.00147103
t=0, n=26, r=1, m=0, rp=0 ---------> -0.00397586
t=1, n=26, r=1, m=0, rp=0 ---------> -0.00179369
t=0, n=27, r=1, m=0, rp=0 ---------> -0.00306013
t=1, n=27, r=1, m=0, rp=0 ---------> -0.000159892
t=0, n=28, r=1, m=0, rp=0 ---------> -0.00552824
t=1, n=28, r=1, m=0, rp=0 ---------> 7.71801e-05
t=0, n=29, r=1, m=0, rp=0 ---------> -0.00269107
t=1, n=29, r=1, m=0, rp=0 ---------> 0.000494028
t=0, n=30, r=1, m=0, rp=0 ---------> -0.00445164
t=1, n=30, r=1, m=0, rp=0 ---------> 0.000294194
t=0, n=31, r=1, m=0, rp=0 ---------> -0.0045745
t=1, n=31, r=1, m=0, rp=0 ---------> -0.000521542
t=0, n=32, r=1, m=0, rp=0 ---------> -0.00506456
t=1, n=32, r=1, m=0, rp=0 ---------> 0.000104613
t=0, n=33, r=1, m=0, rp=0 ---------> -0.000697705
t=1, n=33, r=1, m=0, rp=0 ---------> -0.000597269
t=0, n=34, r=1, m=0, rp=0 ---------> -0.00301833
t=1, n=34, r=1, m=0, rp=0 ---------> -0.000345196
t=0, n=35, r=1, m=0, rp=0 ---------> -0.00200739
t=1, n=35, r=1, m=0, rp=0 ---------> -0.000871947
t=0, n=36, r=1, m=0, rp=0 ---------> -0.00275521
t=1, n=36, r=1, m=0, rp=0 ---------> 0.000108702
t=0, n=37, r=1, m=0, rp=0 ---------> -0.00428866
t=1, n=37, r=1, m=0, rp=0 ---------> -0.00229243
t=0, n=38, r=1, m=0, rp=0 ---------> -0.00343338
t=1, n=38, r=1, m=0, rp=0 ---------> -0.000191675
t=0, n=39, r=1, m=0, rp=0 ---------> -0.00327885
t=1, n=39, r=1, m=0, rp=0 ---------> -0.000273592
t=0, n=40, r=1, m=0, rp=0 ---------> -0.00245981
t=1, n=40, r=1, m=0, rp=0 ---------> 0.000275219
t=0, n=41, r=1, m=0, rp=0 ---------> -0.00316787
t=1, n=41, r=1, m=0, rp=0 ---------> 0.000229106
t=0, n=42, r=1, m=0, rp=0 ---------> -0.0035475
t=1, n=42, r=1, m=0, rp=0 ---------> -7.42991e-05
t=0, n=43, r=1, m=0, rp=0 ---------> -0.00266374
t=1, n=43, r=1, m=0, rp=0 ---------> -5.16011e-05
t=0, n=44, r=1, m=0, rp=0 ---------> 0.00121302
t=1, n=44, r=1, m=0, rp=0 ---------> 0.000130652
t=0, n=0, r=2, m=0, rp=0 ---------> 6.37035e-05
t=1, n=0, r=2, m=0, rp=0 ---------> 0.000126013
t=0, n=1, r=2, m=0, rp=0 ---------> -0.000181451
t=1, n=1, r=2, m=0, rp=0 ---------> 9.22652e-05
t=0, n=2, r=2, m=0, rp=0 ---------> -0.000113935
t=1, n=2, r=2, m=0, rp=0 ---------> 0.000166501
t=0, n=3, r=2, m=0, rp=0 ---------> -3.19543e-05
t=1, n=3, r=2, m=0, rp=0 ---------> 0.000179981
t=0, n=4, r=2, m=0, rp=0 ---------> -0.000171337
t=1, n=4, r=2, m=0, rp=0 ---------> -4.04869e-05
t=0, n=5, r=2, m=0, rp=0 ---------> 1.38803e-05
t=1, n=5, r=2, m=0, rp=0 ---------> 0.000130083
t=0, n=6, r=2, m=0, rp=0 ---------> 0.000156952
t=1, n=6, r=2, m=0, rp=0 ---------> 9.954e-05
t=0, n=7, r=2, m=0, rp=0 ---------> -2.57413e-05
t=1, n=7, r=2, m=0, rp=0 ---------> 1.88886e-05
t=0, n=8, r=2, m=0, rp=0 ---------> -4.26035e-05
t=1, n=8, r=2, m=0, rp=0 ---------> 0.000238197
t=0, n=9, r=2, m=0, rp=0 ---------> 4.66431e-05
t=1, n=9, r=2, m=0, rp=0 ---------> 0.000242692
t=0, n=10, r=2, m=0, rp=0 ---------> 7.64177e-05
t=1, n=10, r=2, m=0, rp=0 ---------> 8.74111e-05
t=0, n=11, r=2, m=0, rp=0 ---------> 4.30291e-05
t=1, n=11, r=2, m=0, rp=0 ---------> 6.24636e-05
t=0, n=12, r=2, m=0, rp=0 ---------> -5.11253e-05
t=1, n=12, r=2, m=0, rp=0 ---------> 4.63221e-05
t=0, n=13, r=2, m=0, rp=0 ---------> 6.20115e-05
t=1, n=13, r=2, m=0, rp=0 ---------> 0.000109481
t=0, n=14, r=2, m=0, rp=0 ---------> -5.14374e-06
t=1, n=14, r=2, m=0, rp=0 ---------> 0.000244722
t=0, n=15, r=2, m=0, rp=0 ---------> 7.68642e-06
t=1, n=15, r=2, m=0, rp=0 ---------> 7.90246e-05
t=0, n=16, r=2, m=0, rp=0 ---------> 3.69059e-05
t=1, n=16, r=2, m=0, rp=0 ---------> 6.45462e-05
t=0, n=17, r=2, m=0, rp=0 ---------> -0.000248523
t=1, n=17, r=2, m=0, rp=0 ---------> 0.000108899
t=0, n=18, r=2, m=0, rp=0 ---------> -4.129e-06
t=1, n=18, r=2, m=0, rp=0 ---------> -7.76381e-05
t=0, n=19, r=2, m=0, rp=0 ---------> 6.41959e-05
t=1, n=19, r=2, m=0, rp=0 ---------> -4.86793e-05
t=0, n=20, r=2, m=0, rp=0 ---------> -8.51872e-06
t=1, n=20, r=2, m=0, rp=0 ---------> 9.85318e-05
t=0, n=21, r=2, m=0, rp=0 ---------> -1.89789e-05
t=1, n=21, r=2, m=0, rp=0 ---------> 4.50597e-05
t=0, n=22, r=2, m=0, rp=0 ---------> -2.68808e-05
t=1, n=22, r=2, m=0, rp=0 ---------> 0.000114373
t=0, n=23, r=2, m=0, rp=0 ---------> -0.000190901
t=1, n=23, r=2, m=0, rp=0 ---------> 0.000137747
t=0, n=24, r=2, m=0, rp=0 ---------> -6.6997e-07
t=1, n=24, r=2, m=0, rp=0 ---------> 0.000112829
t=0, n=25, r=2, m=0, rp=0 ---------> -3.21253e-05
t=1, n=25, r=2, m=0, rp=0 ---------> 0.000237323
t=0, n=26, r=2, m=0, rp=0 ---------> -2.03107e-05
t=1, n=26, r=2, m=0, rp=0 ---------> 9.1221e-05
t=0, n=27, r=2, m=0, rp=0 ---------> -6.95759e-05
t=1, n=27, r=2, m=0, rp=0 ---------> 0.000139146
t=0, n=28, r=2, m=0, rp=0 ---------> 0.00016225
t=1, n=28, r=2, m=0, rp=0 ---------> 3.21635e-05
t=0, n=29, r=2, m=0, rp=0 ---------> -0.000180666
t=1, n=29, r=2, m=0, rp=0 ---------> 4.76744e-05
t=0, n=30, r=2, m=0, rp=0 ---------> 8.39177e-05
t=1, n=30, r=2, m=0, rp=0 ---------> 9.15849e-05
t=0, n=31, r=2, m=0, rp=0 ---------> 6.21995e-05
t=1, n=31, r=2, m=0, rp=0 ---------> 4.91117e-05
t=0, n=32, r=2, m=0, rp=0 ---------> 0.000133397
t=1, n=32, r=2, m=0, rp=0 ---------> 8.5894e-05
t=0, n=33, r=2, m=0, rp=0 ---------> -6.48808e-05
t=1, n=33, r=2, m=0, rp=0 ---------> 7.15649e-05
t=0, n=34, r=2, m=0, rp=0 ---------> -0.00026677
t=1, n=34, r=2, m=0, rp=0 ---------> -8.60076e-07
t=0, n=35, r=2, m=0, rp=0 ---------> -4.02871e-05
t=1, n=35, r=2, m=0, rp=0 ---------> 9.8089e-05
t=0, n=36, r=2, m=0, rp=0 ---------> 2.82547e-06
t=1, n=36, r=2, m=0, rp=0 ---------> -4.08187e-05
t=0, n=37, r=2, m=0, rp=0 ---------> 0.000202013
t=1, n=37, r=2, m=0, rp=0 ---------> 0.000257804
