t=0, n=0, r=0, m=0, rp=0 ---------> 3.68061e+11
t=1, n=0, r=0, m=0, rp=0 ---------> 7.9277e+11
t=0, n=1, r=0, m=0, rp=0 ---------> 1.05653e+11
t=1, n=1, r=0, m=0, rp=0 ---------> 1.14067e+12
t=0, n=2, r=0, m=0, rp=0 ---------> -4.1285e+11
t=1, n=2, r=0, m=0, rp=0 ---------> 6.97365e+11
t=0, n=3, r=0, m=0, rp=0 ---------> -5.33065e+09
t=1, n=3, r=0, m=0, rp=0 ---------> 8.82707e+11
t=0, n=4, r=0, m=0, rp=0 ---------> 2.68318e+11
t=1, n=4, r=0, m=0, rp=0 ---------> 5.79242e+11
t=0, n=5, r=0, m=0, rp=0 ---------> 7.99238e+10
t=1, n=5, r=0, m=0, rp=0 ---------> 4.06972e+11
t=0, n=6, r=0, m=0, rp=0 ---------> 1.03496e+11
t=1, n=6, r=0, m=0, rp=0 ---------> 8.11671e+11
t=0, n=7, r=0, m=0, rp=0 ---------> 2.86697e+11
t=1, n=7, r=0, m=0, rp=0 ---------> 4.77897e+11
t=0, n=8, r=0, m=0, rp=0 ---------> -1.50978e+11
t=1, n=8, r=0, m=0, rp=0 ---------> 7.32142e+11
t=0, n=9, r=0, m=0, rp=0 ---------> 2.26004e+09
t=1, n=9, r=0, m=0, rp=0 ---------> 1.30732e+12
t=0, n=10, r=0, m=0, rp=0 ---------> 7.46724e+09
t=1, n=10, r=0, m=0, rp=0 ---------> 4.98566e+11
t=0, n=11, r=0, m=0, rp=0 ---------> 2.18912e+11
t=1, n=11, r=0, m=0, rp=0 ---------> 5.22303e+11
t=0, n=12, r=0, m=0, rp=0 ---------> 2.05033e+11
t=1, n=12, r=0, m=0, rp=0 ---------> 7.951e+11
t=0, n=13, r=0, m=0, rp=0 ---------> 2.48895e+11
t=1, n=13, r=0, m=0, rp=0 ---------> 8.84972e+11
t=0, n=14, r=0, m=0, rp=0 ---------> -5.12507e+11
t=1, n=14, r=0, m=0, rp=0 ---------> 4.27946e+11
t=0, n=15, r=0, m=0, rp=0 ---------> 3.77948e+10
t=1, n=15, r=0, m=0, rp=0 ---------> 5.75302e+11
t=0, n=16, r=0, m=0, rp=0 ---------> 1.34964e+11
t=1, n=16, r=0, m=0, rp=0 ---------> 3.17041e+11
t=0, n=17, r=0, m=0, rp=0 ---------> 1.07174e+11
t=1, n=17, r=0, m=0, rp=0 ---------> 1.29188e+12
t=0, n=18, r=0, m=0, rp=0 ---------> 1.93592e+11
t=1, n=18, r=0, m=0, rp=0 ---------> 4.90158e+11
t=0, n=19, r=0, m=0, rp=0 ---------> 1.12732e+11
t=1, n=19, r=0, m=0, rp=0 ---------> -2.2601e+11
t=0, n=20, r=0, m=0, rp=0 ---------> 6.57443e+10
t=1, n=20, r=0, m=0, rp=0 ---------> 2.49861e+11
t=0, n=21, r=0, m=0, rp=0 ---------> -5.18246e+10
t=1, n=21, r=0, m=0, rp=0 ---------> -6.26025e+10
t=0, n=22, r=0, m=0, rp=0 ---------> 4.01231e+11
t=1, n=22, r=0, m=0, rp=0 ---------> 5.7255e+11
t=0, n=23, r=0, m=0, rp=0 ---------> -7.08716e+10
t=1, n=23, r=0, m=0, rp=0 ---------> 6.49135e+11
t=0, n=24, r=0, m=0, rp=0 ---------> 1.08388e+11
t=1, n=24, r=0, m=0, rp=0 ---------> 7.09678e+11
t=0, n=25, r=0, m=0, rp=0 ---------> -8.16646e+09
t=1, n=25, r=0, m=0, rp=0 ---------> 6.19918e+11
t=0, n=26, r=0, m=0, rp=0 ---------> 1.85961e+11
t=1, n=26, r=0, m=0, rp=0 ---------> 3.38716e+11
t=0, n=27, r=0, m=0, rp=0 ---------> 1.14918e+10
t=1, n=27, r=0, m=0, rp=0 ---------> 6.31763e+11
t=0, n=28, r=0, m=0, rp=0 ---------> 2.75723e+11
