t=0, n=0, m=0, rp=0 ---------> 49380
t=1, n=0, m=0, rp=0 ---------> 49380
t=0, n=1, m=0, rp=0 ---------> 49380
t=1, n=1, m=0, rp=0 ---------> 49380
t=0, n=2, m=0, rp=0 ---------> 49380
t=1, n=2, m=0, rp=0 ---------> 49380
t=0, n=3, m=0, rp=0 ---------> 49380
t=1, n=3, m=0, rp=0 ---------> 49380
t=0, n=4, m=0, rp=0 ---------> 49380
t=1, n=4, m=0, rp=0 ---------> 49380
t=0, n=5, m=0, rp=0 ---------> 49380
t=1, n=5, m=0, rp=0 ---------> 49380
t=0, n=6, m=0, rp=0 ---------> 49380
t=1, n=6, m=0, rp=0 ---------> 49380
t=0, n=7, m=0, rp=0 ---------> 49380
t=1, n=7, m=0, rp=0 ---------> 49380
t=0, n=8, m=0, rp=0 ---------> 49380
t=1, n=8, m=0, rp=0 ---------> 49380
t=0, n=9, m=0, rp=0 ---------> 49380
t=1, n=9, m=0, rp=0 ---------> 49380
t=0, n=10, m=0, rp=0 ---------> 49380
t=1, n=10, m=0, rp=0 ---------> 49380
t=0, n=11, m=0, rp=0 ---------> 49380
t=1, n=11, m=0, rp=0 ---------> 49380
t=0, n=12, m=0, rp=0 ---------> 49380
t=1, n=12, m=0, rp=0 ---------> 49380
t=0, n=13, m=0, rp=0 ---------> 49380
t=1, n=13, m=0, rp=0 ---------> 49380
t=0, n=14, m=0, rp=0 ---------> 49380
t=1, n=14, m=0, rp=0 ---------> 49380
t=0, n=15, m=0, rp=0 ---------> 49380
t=1, n=15, m=0, rp=0 ---------> 49380
t=0, n=16, m=0, rp=0 ---------> 49380
t=1, n=16, m=0, rp=0 ---------> 49380
t=0, n=17, m=0, rp=0 ---------> 49380
t=1, n=17, m=0, rp=0 ---------> 49380
t=0, n=18, m=0, rp=0 ---------> 49380
t=1, n=18, m=0, rp=0 ---------> 49380
t=0, n=19, m=0, rp=0 ---------> 49380
t=1, n=19, m=0, rp=0 ---------> 49380
t=0, n=20, m=0, rp=0 ---------> 49380
t=1, n=20, m=0, rp=0 ---------> 49380
t=0, n=21, m=0, rp=0 ---------> 49380
t=1, n=21, m=0, rp=0 ---------> 49380
t=0, n=22, m=0, rp=0 ---------> 49380
t=1, n=22, m=0, rp=0 ---------> 49380
t=0, n=23, m=0, rp=0 ---------> 49380
t=1, n=23, m=0, rp=0 ---------> 49380
t=0, n=24, m=0, rp=0 ---------> 49380
t=1, n=24, m=0, rp=0 ---------> 49380
t=0, n=25, m=0, rp=0 ---------> 49380
t=1, n=25, m=0, rp=0 ---------> 49380
t=0, n=26, m=0, rp=0 ---------> 49380
t=1, n=26, m=0, rp=0 ---------> 49380
t=0, n=27, m=0, rp=0 ---------> 49380
t=1, n=27, m=0, rp=0 ---------> 49380
t=0, n=28, m=0, rp=0 ---------> 49380
t=1, n=28, m=0, rp=0 ---------> 49380
t=0, n=29, m=0, rp=0 ---------> 49380
t=1, n=29, m=0, rp=0 ---------> 49380
t=0, n=30, m=0, rp=0 ---------> 49380
t=1, n=30, m=0, rp=0 ---------> 49380
t=0, n=31, m=0, rp=0 ---------> 49380
t=1, n=31, m=0, rp=0 ---------> 49380
t=0, n=32, m=0, rp=0 ---------> 49380
t=1, n=32, m=0, rp=0 ---------> 49380
t=0, n=33, m=0, rp=0 ---------> 49380
t=1, n=33, m=0, rp=0 ---------> 49380
t=0, n=34, m=0, rp=0 ---------> 49380
t=1, n=34, m=0, rp=0 ---------> 49380
t=0, n=35, m=0, rp=0 ---------> 49380
t=1, n=35, m=0, rp=0 ---------> 49380
t=0, n=36, m=0, rp=0 ---------> 49380
t=1, n=36, m=0, rp=0 ---------> 49380
t=0, n=37, m=0, rp=0 ---------> 49380
t=1, n=37, m=0, rp=0 ---------> 49380
t=0, n=38, m=0, rp=0 ---------> 49380
t=1, n=38, m=0, rp=0 ---------> 49380
t=0, n=39, m=0, rp=0 ---------> 49380
t=1, n=39, m=0, rp=0 ---------> 49380
t=0, n=40, m=0, rp=0 ---------> 49380
t=1, n=40, m=0, rp=0 ---------> 49380
t=0, n=41, m=0, rp=0 ---------> 49380
t=1, n=41, m=0, rp=0 ---------> 49380
t=0, n=42, m=0, rp=0 ---------> 49380
t=1, n=42, m=0, rp=0 ---------> 49380
t=0, n=43, m=0, rp=0 ---------> 49380
t=1, n=43, m=0, rp=0 ---------> 49380
t=0, n=44, m=0, rp=0 ---------> 1.92207e+10
t=1, n=44, m=0, rp=0 ---------> 3.1471e+10
t=0, n=45, m=0, rp=0 ---------> -3.25046e+10
t=1, n=45, m=0, rp=0 ---------> 2.24124e+10
t=0, n=0, m=1, rp=0 ---------> 49380
t=1, n=0, m=1, rp=0 ---------> 49380
t=0, n=1, m=1, rp=0 ---------> 49380
t=1, n=1, m=1, rp=0 ---------> 49380
t=0, n=2, m=1, rp=0 ---------> 49380
